names,scores,logfoldchanges,pvals,pvals_adj
CTNNA1,19.62306,0.5771231,9.825800515580726e-86,1.1168761635738204e-83
CDC42EP3,19.61735,0.52084,1.0993737763331485e-85,1.2457640739185626e-83
PDLIM5,19.61166,0.51017034,1.2295480467685675e-85,1.3889718536968006e-83
RNF24,19.593107,0.5518431,1.7705060186213057e-85,1.993916639617182e-83
MEF2C,19.584085,0.4342628,2.1136848047164315e-85,2.3730974704731935e-83
GAB2,19.579905,0.3907772,2.2944855619682746e-85,2.5682099710581292e-83
OAS3,19.550364,1.8247449,4.095847639213568e-85,4.5704914464285306e-83
OSCAR,19.544971,0.9278421,4.552543396297062e-85,5.064669934585677e-83
MAPK14,19.526983,0.3439104,6.475375782113163e-85,7.181976636397692e-83
HDAC4,19.504597,0.40370342,1.0034652921602016e-84,1.1096022102222216e-82
GRB2,19.475069,0.31191745,1.7868630443774108e-84,1.9639932218395678e-82
BACH1,19.472908,0.33691594,1.863809875763961e-84,2.042434289306489e-82
BAZ1A,19.445755,0.32482955,3.1657936722552324e-84,3.4588422148720526e-82
RGS2,19.3619,0.52827173,1.618075709801397e-83,1.7625949123345515e-81
SCO2,19.350857,1.1263599,2.0048119085503613e-83,2.177392304595008e-81
DUSP6,19.321035,0.7168303,3.5740604525834386e-83,3.8588255641594817e-81
MAP3K3,19.273355,0.35145324,8.991423759998074e-83,9.679267677637926e-81
MIDN,19.248272,0.512648,1.4595178615153256e-82,1.566563438396552e-80
MIR181A1HG,19.236748,0.45325258,1.8229415724191558e-82,1.950920599184606e-80
ARPC1B,19.228065,0.38487926,2.1552070218935973e-82,2.299788111029958e-80
GNAI2,19.194029,0.38234818,4.1516341265805826e-82,4.404462628028287e-80
MYO9B,19.175467,0.3108777,5.933330465306267e-82,6.276469027765165e-80
VIM,19.120699,0.33116153,1.698192140162319e-81,1.7860784632781908e-79
LRRK1,19.10186,0.70111567,2.436519036451368e-81,2.5552731591162325e-79
ANKS1A,19.09061,0.5060885,3.0221780866482805e-81,3.1604211471261064e-79
S100A8,19.056938,0.45853585,5.754520487797295e-81,6.000604113215635e-79
DENND3,19.041801,0.46777466,7.683988757951366e-81,7.989820242323238e-79
CEBPD,19.029675,0.5464845,9.68534266743884e-81,1.0042301047335098e-78
NCKAP1L,19.02927,0.34229597,9.76014371662002e-81,1.0091271756271451e-78
CERS6,19.024902,0.35781705,1.0608596655282554e-80,1.0937612568450612e-78
GCA,18.998953,0.593258,1.739815168103572e-80,1.7887352519033383e-78
TNRC18,18.989862,0.532719,2.0687049668803346e-80,2.120915139853981e-78
MARCKS,18.98004,0.6430145,2.4940625720507716e-80,2.5498654804366003e-78
GLUL,18.947472,0.61322683,4.633081244434231e-80,4.723548931129172e-78
TLR4,18.926682,0.73394215,6.875999536366508e-80,6.990790528626404e-78
S100Z,18.913946,0.87760043,8.755215649465235e-80,8.87672155086086e-78
SP110,18.861555,0.3568499,2.3617346028386293e-79,2.3878963590744933e-77
IFIT3,18.851948,5.380064,2.832205617697534e-79,2.855690297888359e-77
FAM49B,18.848825,0.26743174,3.004400769871938e-79,3.0209910048923845e-77
CNTLN,18.786674,0.86178076,9.707425542025895e-79,9.707690772231962e-77
GLIPR2,18.735817,0.5275304,2.527284633403245e-78,2.5204671625937923e-76
GASK1B,18.722027,1.0023785,3.274459222805071e-78,3.256752228638272e-76
IER2,18.686241,0.46650013,6.407147467990794e-78,6.355230473602468e-76
RTN4,18.679401,0.3188413,7.283256788214129e-78,7.185296002841653e-76
APOBEC3A,18.63038,1.1809559,1.8222066088565784e-77,1.7928651637300975e-75
PELI2,18.628944,0.34032828,1.8717766630103392e-77,1.8366996687088854e-75
PSEN1,18.551386,0.35486215,7.947729090939802e-77,7.77793669672427e-75
SESTD1,18.55054,0.38731003,8.073599270320783e-77,7.880048183813626e-75
SUSD1,18.546762,0.51499486,8.661317990900499e-77,8.408830233022524e-75
RAB27A,18.541601,0.4096212,9.53396163677678e-77,9.231548409197537e-75
RHOT1,18.5243,0.49627042,1.3150383339483311e-76,1.269966175747833e-74
KDM1B,18.50925,0.6007901,1.738999957817751e-76,1.674977301475987e-74
FKBP15,18.448933,0.6239393,5.318564503282732e-76,5.082631315526143e-74
NFKBIZ,18.383417,0.33174226,1.7837332030290719e-75,1.6913580042504417e-73
IQSEC1,18.319279,0.31833214,5.807801299527526e-75,5.4505470606155635e-73
CCR1,18.309725,0.8898081,6.921756874929713e-75,6.462837331104654e-73
ANKRD13D,18.279016,0.50561243,1.2160099643957707e-74,1.1324982368155117e-72
