names,scores,logfoldchanges,pvals,pvals_adj,-log10_padj,significant
MS4A4E,15.28557,0.9013801,9.542410832983065e-53,6.011390342478711e-51,50.221025070720366,True
AC090559.1,15.256796,0.74185926,1.48357421096282e-52,9.282102512042765e-51,50.032353639518725,True
NLRP3,15.23732,0.5139821,1.999039048419477e-52,1.2443338131156682e-50,49.905063097340815,True
SIRPA,15.185908,0.5838592,4.3844501138315656e-52,2.7061595044915537e-50,49.56764660911349,True
HERC5,15.137139,0.7511959,9.21353938410392e-52,5.658133473113886e-50,49.247326811924424,True
AL034397.3,15.125526,0.7871321,1.0991839712824589e-51,6.727630858346032e-50,49.17213784607184,True
SGMS2,15.077259,0.5710372,2.2856174101129106e-51,1.3781858785427122e-49,48.86069220435777,True
SH2D3C,15.034573,0.6102201,4.358495672301599e-51,2.615168854129685e-49,48.58250026471285,True
DDX58,14.985751,0.62733907,9.099110910707957e-51,5.4152285925662106e-49,48.26638320581711,True
AC007952.4,14.938232,0.5976116,1.858392856262227e-50,1.1006316655672131e-48,47.95835799653733,True
PLA2G4A,14.863417,0.7361088,5.694566342351467e-50,3.35630954422554e-48,47.47413799207765,True
KCTD12,14.858455,0.6062239,6.132342670337627e-50,3.6085188758364544e-48,47.44267101860504,True
NADK,14.717749,0.661561,4.958950922443514e-49,2.8673390633863355e-47,46.54252094861229,True
RGS18,14.6046295,0.6689287,2.624039317979597e-48,1.4936619452157268e-46,45.8257476836051,True
PNPT1,14.597938,0.61255604,2.8947132038045767e-48,1.6451769871498655e-46,45.783787374061795,True
P2RX7,14.535534,0.70067894,7.21489551427679e-48,4.079370729793501e-46,45.389406824570784,True
CMPK2,14.524815,1.890334,8.436993978058153e-48,4.758126603866047e-46,45.322564006470905,True
